,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_modality,company_location,company_size
0,2020,Intermediate,FT,Data Scientist,70000,EUR,79833,DE,On site,DE,L
1,2020,Senior,FT,Machine Learning Scientist,260000,USD,260000,JP,On site,JP,S
2,2020,Senior,FT,Big Data Engineer,85000,GBP,109024,GB,Hybrid,GB,M
3,2020,Intermediate,FT,Product Data Analyst,20000,USD,20000,HN,On site,HN,S
4,2020,Senior,FT,Machine Learning Engineer,150000,USD,150000,US,Hybrid,US,L
5,2020,Junior,FT,Data Analyst,72000,USD,72000,US,Remote,US,L
6,2020,Senior,FT,Lead Data Scientist,190000,USD,190000,US,Remote,US,S
7,2020,Intermediate,FT,Data Scientist,11000000,HUF,35735,HU,Hybrid,HU,L
8,2020,Intermediate,FT,Business Data Analyst,135000,USD,135000,US,Remote,US,L
9,2020,Senior,FT,Lead Data Engineer,125000,USD,125000,NZ,Hybrid,NZ,S
10,2020,Junior,FT,Data Scientist,45000,EUR,51321,FR,On site,FR,S
11,2020,Intermediate,FT,Data Scientist,3000000,INR,40481,IN,On site,IN,L
12,2020,Junior,FT,Data Scientist,35000,EUR,39916,FR,On site,FR,M
13,2020,Intermediate,FT,Lead Data Analyst,87000,USD,87000,US,Remote,US,L
14,2020,Intermediate,FT,Data Analyst,85000,USD,85000,US,Remote,US,L
15,2020,Intermediate,FT,Data Analyst,8000,USD,8000,PK,Hybrid,PK,L
16,2020,Junior,FT,Data Engineer,4450000,JPY,41689,JP,Remote,JP,S
17,2020,Senior,FT,Big Data Engineer,100000,EUR,114047,PL,Remote,GB,S
18,2020,Junior,FT,Data Science Consultant,423000,INR,5707,IN,Hybrid,IN,M
19,2020,Intermediate,FT,Lead Data Engineer,56000,USD,56000,PT,Remote,US,M
20,2020,Intermediate,FT,Machine Learning Engineer,299000,CNY,43331,CN,On site,CN,M
21,2020,Intermediate,FT,Product Data Analyst,450000,INR,6072,IN,Remote,IN,L
22,2020,Senior,FT,Data Engineer,42000,EUR,47899,GR,Hybrid,GR,L
23,2020,Intermediate,FT,BI Data Analyst,98000,USD,98000,US,On site,US,M
24,2020,Intermediate,FT,Lead Data Scientist,115000,USD,115000,AE,On site,AE,L
25,2020,Executive,FT,Director of Data Science,325000,USD,325000,US,Remote,US,L
26,2020,Junior,FT,Research Scientist,42000,USD,42000,NL,Hybrid,NL,L
27,2020,Senior,FT,Data Engineer,720000,MXN,33511,MX,On site,MX,S
28,2020,Junior,CT,Business Data Analyst,100000,USD,100000,US,Remote,US,L
29,2020,Senior,FT,Machine Learning Manager,157000,CAD,117104,CA,Hybrid,CA,L
30,2020,Intermediate,FT,Data Engineering Manager,51999,EUR,59303,DE,Remote,DE,S
31,2020,Junior,FT,Big Data Engineer,70000,USD,70000,US,Remote,US,L
32,2020,Senior,FT,Data Scientist,60000,EUR,68428,GR,Remote,US,L
33,2020,Intermediate,FT,Research Scientist,450000,USD,450000,US,On site,US,M
34,2020,Intermediate,FT,Data Analyst,41000,EUR,46759,FR,Hybrid,FR,L
35,2020,Intermediate,FT,Data Engineer,65000,EUR,74130,AT,Hybrid,AT,L
36,2020,Intermediate,FT,Data Science Consultant,103000,USD,103000,US,Remote,US,L
37,2020,Junior,FT,Machine Learning Engineer,250000,USD,250000,US,Hybrid,US,L
38,2020,Junior,FT,Data Analyst,10000,USD,10000,NG,Remote,NG,S
39,2020,Junior,FT,Machine Learning Engineer,138000,USD,138000,US,Remote,US,S
40,2020,Intermediate,FT,Data Scientist,45760,USD,45760,PH,Remote,US,S
41,2020,Executive,FT,Data Engineering Manager,70000,EUR,79833,ES,Hybrid,ES,L
42,2020,Intermediate,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,On site,PT,M
43,2020,Intermediate,FT,Data Engineer,106000,USD,106000,US,Remote,US,L
44,2020,Intermediate,FT,Data Engineer,88000,GBP,112872,GB,Hybrid,GB,L
45,2020,Junior,PT,ML Engineer,14000,EUR,15966,DE,Remote,DE,S
46,2020,Intermediate,FT,Data Scientist,60000,GBP,76958,GB,Remote,GB,S
47,2020,Senior,FT,Data Engineer,188000,USD,188000,US,Remote,US,L
48,2020,Intermediate,FT,Data Scientist,105000,USD,105000,US,Remote,US,L
49,2020,Intermediate,FT,Data Engineer,61500,EUR,70139,FR,Hybrid,FR,L
50,2020,Junior,FT,Data Analyst,450000,INR,6072,IN,On site,IN,S
51,2020,Junior,FT,Data Analyst,91000,USD,91000,US,Remote,US,L
52,2020,Junior,FT,AI Scientist,300000,DKK,45896,DK,Hybrid,DK,S
53,2020,Junior,FT,Data Engineer,48000,EUR,54742,PK,Remote,DE,L
54,2020,Senior,FL,Computer Vision Engineer,60000,USD,60000,RU,Remote,US,S
55,2020,Senior,FT,Principal Data Scientist,130000,EUR,148261,DE,Remote,DE,M
56,2020,Intermediate,FT,Data Scientist,34000,EUR,38776,ES,Remote,ES,M
57,2020,Intermediate,FT,Data Scientist,118000,USD,118000,US,Remote,US,M
58,2020,Senior,FT,Data Scientist,120000,USD,120000,US,Hybrid,US,L
59,2020,Intermediate,FT,Data Scientist,138350,USD,138350,US,Remote,US,M
60,2020,Intermediate,FT,Data Engineer,110000,USD,110000,US,Remote,US,L
61,2020,Intermediate,FT,Data Engineer,130800,USD,130800,ES,Remote,US,M
62,2020,Junior,PT,Data Scientist,19000,EUR,21669,IT,Hybrid,IT,S
63,2020,Senior,FT,Data Scientist,412000,USD,412000,US,Remote,US,L
64,2020,Senior,FT,Machine Learning Engineer,40000,EUR,45618,HR,Remote,HR,S
65,2020,Junior,FT,Data Scientist,55000,EUR,62726,DE,Hybrid,DE,S
66,2020,Junior,FT,Data Scientist,43200,EUR,49268,DE,On site,DE,S
67,2020,Senior,FT,Data Science Manager,190200,USD,190200,US,Remote,US,M
68,2020,Junior,FT,Data Scientist,105000,USD,105000,US,Remote,US,S
69,2020,Senior,FT,Data Scientist,80000,EUR,91237,AT,On site,AT,S
70,2020,Intermediate,FT,Data Scientist,55000,EUR,62726,FR,Hybrid,LU,S
71,2020,Intermediate,FT,Data Scientist,37000,EUR,42197,FR,Hybrid,FR,S
72,2021,Junior,FT,Research Scientist,60000,GBP,82528,GB,Hybrid,GB,L
73,2021,Executive,FT,BI Data Analyst,150000,USD,150000,IN,Remote,US,L
74,2021,Executive,FT,Head of Data,235000,USD,235000,US,Remote,US,L
75,2021,Senior,FT,Data Scientist,45000,EUR,53192,FR,Hybrid,FR,L
76,2021,Intermediate,FT,BI Data Analyst,100000,USD,100000,US,Remote,US,M
77,2021,Intermediate,PT,3D Computer Vision Researcher,400000,INR,5409,IN,Hybrid,IN,M
78,2021,Intermediate,CT,ML Engineer,270000,USD,270000,US,Remote,US,L
79,2021,Junior,FT,Data Analyst,80000,USD,80000,US,Remote,US,M
80,2021,Senior,FT,Data Analytics Engineer,67000,EUR,79197,DE,Remote,DE,L
81,2021,Intermediate,FT,Data Engineer,140000,USD,140000,US,Remote,US,L
82,2021,Intermediate,FT,Applied Data Scientist,68000,CAD,54238,GB,Hybrid,CA,L
83,2021,Intermediate,FT,Machine Learning Engineer,40000,EUR,47282,ES,Remote,ES,S
84,2021,Executive,FT,Director of Data Science,130000,EUR,153667,IT,Remote,PL,L
